Fichier log des capteurs de lumière
Id, Etat, Heure, Date
1_Light, On, 14:40:06, 2024-11-02
1_Light, On, 14:40:16, 2024-11-02
1_Light, Off, 14:40:26, 2024-11-02
1_Light, Off, 17:16:06, 2024-11-02
1_Light, Off, 17:16:16, 2024-11-02
1_Light, Off, 17:16:58, 2024-11-02
1_Light, Off, 17:17:01, 2024-11-02
1_Light, On, 17:17:04, 2024-11-02
1_Light, Off, 17:17:07, 2024-11-02
1_Light, On, 17:17:10, 2024-11-02
1_Light, On, 17:17:13, 2024-11-02
1_Light, On, 17:17:16, 2024-11-02
1_Light, On, 17:17:19, 2024-11-02
1_Light, On, 13:59:37, 2024-11-08
1_Light, Off, 13:59:40, 2024-11-08
1_Light, On, 14:00:41, 2024-11-08
1_Light, On, 14:00:44, 2024-11-08
1_Light, On, 14:00:47, 2024-11-08
1_Light, Off, 14:00:50, 2024-11-08
1_Light, Off, 14:00:53, 2024-11-08
1_Light, Off, 14:00:56, 2024-11-08
1_Light, On, 14:00:59, 2024-11-08
1_Light, On, 14:01:02, 2024-11-08
1_Light, Off, 14:01:05, 2024-11-08
1_Light, On, 14:01:08, 2024-11-08
1_Light, Off, 14:01:11, 2024-11-08
1_Light, On, 14:01:14, 2024-11-08
1_Light, Off, 14:01:17, 2024-11-08
1_Light, Off, 14:01:20, 2024-11-08
1_Light, Off, 14:01:23, 2024-11-08
1_Light, On, 14:01:26, 2024-11-08
1_Light, Off, 14:01:29, 2024-11-08
1_Light, On, 14:01:32, 2024-11-08
1_Light, On, 14:01:35, 2024-11-08
1_Light, Off, 14:01:38, 2024-11-08
1_Light, On, 14:01:41, 2024-11-08
1_Light, Off, 14:01:44, 2024-11-08
1_Light, Off, 14:01:47, 2024-11-08
1_Light, Off, 14:01:50, 2024-11-08
1_Light, Off, 14:01:53, 2024-11-08
1_Light, On, 14:02:02, 2024-11-08
1_Light, On, 14:02:05, 2024-11-08
1_Light, On, 14:02:08, 2024-11-08
1_Light, On, 14:02:11, 2024-11-08
1_Light, Off, 14:02:14, 2024-11-08
1_Light, Off, 14:02:17, 2024-11-08
1_Light, Off, 14:02:20, 2024-11-08
1_Light, On, 14:02:23, 2024-11-08
1_Light, Off, 14:02:26, 2024-11-08
1_Light, Off, 14:02:29, 2024-11-08
1_Light, On, 14:02:32, 2024-11-08
1_Light, Off, 14:02:35, 2024-11-08
1_Light, Off, 14:02:38, 2024-11-08
1_Light, On, 14:02:41, 2024-11-08
1_Light, Off, 14:02:44, 2024-11-08
1_Light, On, 14:02:47, 2024-11-08
1_Light, Off, 14:02:50, 2024-11-08
1_Light, On, 14:02:53, 2024-11-08
1_Light, Off, 14:02:56, 2024-11-08
1_Light, On, 14:02:59, 2024-11-08
1_Light, Off, 14:03:02, 2024-11-08
1_Light, On, 14:03:05, 2024-11-08
1_Light, On, 14:03:08, 2024-11-08
