Fichier log des capteurs de température
Id, Température °C, Heure, Date
1_Temperature, 29.299999, 18:11:31, 2024-10-21
1_Temperature, 22.500000, 11:35:26, 2024-10-22
1_Temperature, 4.700000, 11:35:36, 2024-10-22
1_Temperature, 36.200001, 11:36:08, 2024-10-22
1_Temperature, 13.800000, 11:50:18, 2024-10-22
1_Temperature, 64.000000, 11:50:28, 2024-10-22
1_Temperature, 46.700001, 11:51:59, 2024-10-22
1_Temperature, 49.400002, 11:52:09, 2024-10-22
1_Temperature, 85.599998, 11:53:58, 2024-10-22
1_Temperature, 53.200001, 11:57:25, 2024-10-22
1_Temperature, 58.200001, 11:57:35, 2024-10-22
1_Temperature, 59.000000, 11:57:45, 2024-10-22
1_Temperature, 69.199997, 11:58:14, 2024-10-22
1_Temperature, 3.600000, 11:58:25, 2024-10-22
1_Temperature, 2.800000, 11:58:35, 2024-10-22
1_Temperature, 47.799999, 14:23:58, 2024-10-22
1_Temperature, 32.400002, 14:24:08, 2024-10-22
1_Temperature, 24.600000, 14:27:53, 2024-10-22
1_Temperature, 33.799999, 14:28:03, 2024-10-22
1_Temperature, 62.099998, 14:28:13, 2024-10-22
1_Temperature, 21.200001, 14:28:23, 2024-10-22
1_Temperature, 37.400002, 14:28:33, 2024-10-22
1_Temperature, 10.700000, 14:49:09, 2024-10-27
1_Temperature, 29.400000, 14:49:19, 2024-10-27
1_Temperature, 72.599998, 14:07:52, 2024-11-02
1_Temperature, 14.700000, 14:08:02, 2024-11-02
1_Temperature, 4.200000, 14:40:06, 2024-11-02
1_Temperature, 86.900002, 14:40:16, 2024-11-02
1_Temperature, 87.099998, 14:40:26, 2024-11-02
